"","X","links","title","price","area","subarea","name","attrib","condition","cryptocurrency","cylinders","drive","fuel","odometer","paint.color","size","title.status","transmission","type","VIN"
"11",11,"https://chicago.craigslist.org/chc/cto/d/2000-toyota-camry-le-4cyl/6456204530.html","2000 Toyota Camry Le **4cyl** Very clean & Reliable - cars & trucks - by owner - vehicle automotive sale","$2295","chicago","city of chicago","2000 toyota camry le","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>107000</b></span>, <span>paint color: <b>white</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",107000,"white","mid-size","clean","automatic","sedan",NA
"12",12,"https://chicago.craigslist.org/chc/cto/d/2002-toyota-camry-solara-se/6455519775.html","2002 toyota Camry solara se - cars & trucks - by owner - vehicle automotive sale","$1650","chicago","city of chicago","2002 toyota camry solara","[<span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>160000</b></span>, <span>paint color: <b>black</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,"6 cylinders","fwd","gas",160000,"black",NA,"clean","automatic",NA,NA
"13",13,"https://chicago.craigslist.org/chc/cto/d/2002-toyota-camry/6456403108.html","2002 toyota camry - cars & trucks - by owner - vehicle automotive sale","$3500","chicago","city of chicago","2002 toyota camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"14",14,"https://chicago.craigslist.org/chc/cto/d/2003-toyota-camry-xle-low/6455199274.html","2003 Toyota Camry xLe LOW MILES !! - cars & trucks - by owner - vehicle automotive sale","$1100","chicago","city of chicago","2003 Toyota CAMRY XLE","[<span>fuel: <b>gas</b></span>, <span>paint color: <b>white</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,"white",NA,"clean","automatic",NA,NA
"15",15,"https://chicago.craigslist.org/chc/cto/d/2003-toyota-camry/6455829504.html","2003 Toyota Camry - cars & trucks - by owner - vehicle automotive sale","$3800","chicago","city of chicago","2003 toyota camry","[<span>cylinders: <b>4 cylinders</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>119000</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,"4 cylinders",NA,"gas",119000,NA,NA,"clean","automatic",NA,NA
"16",16,"https://chicago.craigslist.org/chc/cto/d/2004-toyota-camry-xle-4/6455951727.html","2004 Toyota Camry XLE 4 cylinder For sale - cars & trucks - by owner - vehicle automotive sale","$2950","chicago","city of chicago","2004 Toyota Camry XLE","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>167000</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","excellent",NA,"4 cylinders","fwd","gas",167000,NA,NA,"clean","automatic",NA,NA
"17",17,"https://chicago.craigslist.org/chc/cto/d/2005-toyota-camry-le-xle-v6/6449396525.html","2005 Toyota Camry LE/XLE V6 !!120K Miles - cars & trucks - by owner - vehicle automotive sale","$4200","chicago","city of chicago","2005 toyota camry LE","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>4wd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>120451</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"6 cylinders","4wd","gas",120451,"grey","full-size","clean","automatic","sedan",NA
"18",18,"https://chicago.craigslist.org/chc/cto/d/2007-toyota-camry-hybrid/6451753559.html","2007 Toyota Camry Hybrid - cars & trucks - by owner - vehicle automotive sale","$5799","chicago","city of chicago","2007 Toyota Camry Hybrid","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>hybrid</b></span>, <span>odometer: <b>159000</b></span>, <span>paint color: <b>silver</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","hybrid",159000,"silver",NA,"clean","automatic","sedan",NA
"19",19,"https://chicago.craigslist.org/chc/cto/d/2007-toyota-camry-le-silver/6430042662.html","2007 TOYOTA CAMRY LE, SILVER/GRAY. NICE CLEAN CAR! - cars & trucks - by owner - vehicle automotive sale","$4500","chicago","city of chicago","2007 toyota camry","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>paint color: <b>silver</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","gas",NA,"silver","full-size","clean","automatic","sedan",NA
"20",20,"https://chicago.craigslist.org/chc/cto/d/2007-toyota-camry-se/6425945701.html","2007 Toyota Camry SE - cars & trucks - by owner - vehicle automotive sale","$4000","chicago","city of chicago","2007 Toyota camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"21",21,"https://chicago.craigslist.org/chc/cto/d/2007-toyota-camry-se/6456202725.html","2007 Toyota Camry SE - cars & trucks - by owner - vehicle automotive sale","$6000","chicago","city of chicago","2007 Toyota Camry SE","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>102000</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","excellent",NA,"4 cylinders","fwd","gas",102000,"grey","mid-size","clean","automatic",NA,NA
"22",22,"https://chicago.craigslist.org/chc/cto/d/2007-toyota-camry-xle/6446287581.html","2007 Toyota Camry XLE - cars & trucks - by owner - vehicle automotive sale","$5999","chicago","city of chicago","2007 toyota camry xle","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"23",23,"https://chicago.craigslist.org/chc/cto/d/2008-toyota-camry-hybrid-65k/6453294337.html","==2008 TOYOTA CAMRY HYBRID (65K MILES) CLEAN - cars & trucks - by owner - vehicle automotive sale","$7700","chicago","city of chicago","2008 toyota camry","[<span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>65800</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,"4 cylinders","fwd","gas",65800,NA,NA,"clean","automatic",NA,NA
"24",24,"https://chicago.craigslist.org/chc/cto/d/2009-toyota-camry-se/6456070104.html","2009 Toyota Camry SE - cars & trucks - by owner - vehicle automotive sale","$7200","chicago","city of chicago","2009 toyota camry se 4dr sedan","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>113300</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",113300,"grey","mid-size","clean","automatic","sedan",NA
"25",25,"https://chicago.craigslist.org/chc/cto/d/2009-toyota-camry-xle-120k/6453841691.html","2009 Toyota Camry XLE 120k Miles extra clean - cars & trucks - by owner - vehicle automotive sale","$6400","chicago","city of chicago","2009 toyota camry xle","[<span>condition: <b>excellent</b></span>, <span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","excellent",NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"26",26,"https://chicago.craigslist.org/chc/cto/d/2010-toyota-camry-hybrid/6445603815.html","2010 toyota Camry hybrid - cars & trucks - by owner - vehicle automotive sale","$2900","chicago","city of chicago","2010 toyota camry hybrid","[<span>fuel: <b>hybrid</b></span>, <span>odometer: <b>300000</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"hybrid",300000,NA,NA,"clean","automatic",NA,NA
"27",27,"https://chicago.craigslist.org/chc/cto/d/2010-toyota-camry-le-4/6455499620.html","2010 Toyota Camry LE 4 cylinder sedan 49k miles - cars & trucks - by owner - vehicle automotive sale","$2000","chicago","city of chicago","2010 toyota camry le","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"28",28,"https://chicago.craigslist.org/chc/cto/d/2013-toyota-camry-hybrid/6455764405.html","2013 Toyota Camry hybrid - cars & trucks - by owner - vehicle automotive sale","$7000","chicago","city of chicago","2013 toyota camry","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>213000</b></span>, <span>paint color: <b>white</b></span>, <span>size: <b>compact</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders",NA,"gas",213000,"white","compact","clean","automatic","sedan",NA
"29",29,"https://chicago.craigslist.org/chc/cto/d/2014-silver-toyota-camry-xle/6444347059.html","2014 Silver Toyota Camry XLE Sedan - cars & trucks - by owner - vehicle automotive sale","$14900","chicago","city of chicago","2014 Toyota Camry XLE","[<span>VIN: <b>4T4BF1FK5ER431649</b></span>, <span>condition: <b>like new</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>41539</b></span>, <span>paint color: <b>silver</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"4 cylinders","fwd","gas",41539,"silver","mid-size","clean","automatic","sedan","4T4BF1FK5ER431649"
"30",30,"https://chicago.craigslist.org/chc/cto/d/2014-toyota-camry-se-29k/6439993760.html","******2014 Toyota Camry SE 29K miles Like New****** - cars & trucks - by owner - vehicle automotive sale","$11450","chicago","city of chicago","2014 toyota camry se 4dr sedan","[<span>condition: <b>like new</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>29850</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>rebuilt</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"4 cylinders","fwd","gas",29850,"grey","full-size","rebuilt","automatic","sedan",NA
"31",31,"https://chicago.craigslist.org/chc/cto/d/2016-xse-toyota-camry-rebuilt/6455484864.html","2016 XSE Toyota Camry rebuilt  title only 1000 miles - cars & trucks - by owner - vehicle automotive sale","$14990","chicago","city of chicago","2016 toyota camry xse","[<span>VIN: <b>None</b></span>, <span>condition: <b>like new</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>1000</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>rebuilt</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"4 cylinders","fwd","gas",1000,"grey","full-size","rebuilt","automatic","sedan","None"
"32",32,"https://chicago.craigslist.org/chc/cto/d/beautifulquality-toyota-camry/6455778532.html","beautifulquality Toyota Camry luxurystyle2.4 - cars & trucks - by owner - vehicle automotive sale","$2000","chicago","city of chicago","2009 Toyota Camry","[<span>condition: <b>like new</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"6 cylinders","fwd","gas",NA,NA,NA,"clean","automatic","sedan",NA
"33",33,"https://chicago.craigslist.org/chc/cto/d/bestcolorcomb2o1o-toyota/6448793778.html","BestColorComb2O1O Toyota Camry XLE - cars & trucks - by owner - vehicle automotive sale","$3030","chicago","city of chicago","2010 toyota camry xle","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>paint color: <b>black</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"6 cylinders","fwd","gas",NA,"black","full-size","clean","automatic","sedan",NA
"34",34,"https://chicago.craigslist.org/chc/cto/d/car-for-free/6456075424.html","Car for free - cars & trucks - by owner - vehicle automotive sale",NA,"chicago","city of chicago","1998 toyota camry","[<span>condition: <b>fair</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>paint color: <b>black</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","fair",NA,"6 cylinders","fwd","gas",NA,"black",NA,"clean","automatic",NA,NA
"35",35,"https://chicago.craigslist.org/chc/cto/d/first-owner-2004-toyota-camry/6455916883.html","First Owner 2004 Toyota Camry with new photos - cars & trucks - by owner - vehicle automotive sale","$3100","chicago","city of chicago","2004 Toyota Camry","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>130756</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders",NA,"gas",130756,"grey",NA,"clean","automatic","sedan",NA
"36",36,"https://chicago.craigslist.org/chc/cto/d/toyota-camry-le-2016/6434410678.html","Toyota Camry  LE    2016 - cars & trucks - by owner - vehicle automotive sale","$15490","chicago","city of chicago","2016 Toyota Camry  LE    2016","[<span>VIN: <b>4T1BF1FK8GU16290</b></span>, <span>condition: <b>new</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>48192</b></span>, <span>paint color: <b>white</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","new",NA,"4 cylinders","fwd","gas",48192,"white",NA,"clean","automatic",NA,"4T1BF1FK8GU16290"
"37",37,"https://chicago.craigslist.org/chc/cto/d/toyota-camry-le/6437328858.html","Toyota Camry LE - cars & trucks - by owner - vehicle automotive sale","$3600","chicago","city of chicago","2002 toyota camry le","[<span>condition: <b>like new</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>121000</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"6 cylinders",NA,"gas",121000,"grey",NA,"clean","automatic","sedan",NA
"38",38,"https://chicago.craigslist.org/chc/cto/d/toyota-camry-le/6450967384.html","Toyota Camry LE - cars & trucks - by owner - vehicle automotive sale","$3600","chicago","city of chicago","2002 toyota camry le","[<span>condition: <b>like new</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>121000</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"6 cylinders",NA,"gas",121000,"grey",NA,"clean","automatic","sedan",NA
"39",39,"https://chicago.craigslist.org/chc/cto/d/toyota-camry-le/6456285453.html","Toyota Camry LE - cars & trucks - by owner - vehicle automotive sale","$3600","chicago","city of chicago","2002 toyota camry le","[<span>condition: <b>like new</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>121000</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"6 cylinders",NA,"gas",121000,"grey",NA,"clean","automatic","sedan",NA
"40",40,"https://chicago.craigslist.org/chc/cto/d/toyota-camry-limited-xle-low/6456710088.html","TOYOTA CAMRY LIMITED XLE LOW MILE - cars & trucks - by owner - vehicle automotive sale","$8895","chicago","city of chicago","2012 toyota camry","[<span>condition: <b>like new</b></span>, <span>cryptocurrency ok</span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>110</b></span>, <span>paint color: <b>blue</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new","ok","4 cylinders","fwd","gas",110,"blue","full-size","clean","automatic","sedan",NA
"41",41,"https://chicago.craigslist.org/chc/cto/d/toyota-camry-xle-2012-one/6456693066.html","TOYOTA CAMRY XLE 2012- ONE OWNER - cars & trucks - by owner - vehicle automotive sale","$8950","chicago","city of chicago","2012 TOYOTA CAMRY XLE","[<span>condition: <b>like new</b></span>, <span>cryptocurrency ok</span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>110</b></span>, <span>paint color: <b>blue</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new","ok","4 cylinders","fwd","gas",110,"blue","full-size","clean","automatic","sedan",NA
"42",42,"https://chicago.craigslist.org/ctd/d/2003-toyota-camry-4dr-sedan/6455967195.html","2003 Toyota Camry 4dr Sedan LE Automatic - Green - cars & trucks - by dealer - vehicle automotive sale","$2100","chicago",NA,"2003 Toyota Camry","[<span>VIN: <b>4T1BE32K53U691898</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>0</b></span>, <span>paint color: <b>green</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]",NA,NA,"4 cylinders","fwd","gas",0,"green",NA,"clean","automatic","sedan","4T1BE32K53U691898"
"43",43,"https://chicago.craigslist.org/nch/cto/d/2002-toyota-camry-le-4-cyl/6456390588.html","2002 Toyota Camry LE, 4 cyl - cars & trucks - by owner - vehicle automotive sale","$3750","chicago","north chicagoland","2002 toyota camry le 4cyl","[<span>VIN: <b>4T1BE32K52U508613</b></span>, <span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>173906</b></span>, <span>paint color: <b>blue</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","gas",173906,"blue","mid-size","clean","automatic","sedan","4T1BE32K52U508613"
"44",44,"https://chicago.craigslist.org/nch/cto/d/2005-toyota-camry-4-cyl-auto/6455778554.html","2005 Toyota Camry 4 Cyl Auto - cars & trucks - by owner - vehicle automotive sale","$4400","chicago","north chicagoland","2005 toyota camry","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>123000</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","gas",123000,NA,NA,"clean","automatic","sedan",NA
"45",45,"https://chicago.craigslist.org/nch/cto/d/2011-toyota-camry-se/6455781210.html","2011 toyota camry se - cars & trucks - by owner - vehicle automotive sale","$6300","chicago","north chicagoland","2011 toyota camry se 4dr sedan","[<span>VIN: <b>4t1bf3ek3au502154</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>156000</b></span>, <span>paint color: <b>black</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",156000,"black","full-size","clean","automatic","sedan","4t1bf3ek3au502154"
